number,ref_short,year,ref_full,iso3c,website,download,check,category,accessed
95,National Science and Technology Council Taiwan (2024),2024,,TWN,,,,National,
96,Childress (2004),2004,,KAZ,,,,National,
97,Musaevich (2013),2013,,UZB,,,,National,
98,Van der Eng (1996),1996,,IDN,,,,National,
99,Morales (1998),1998,,Latin America,,,,UN,
100,Chancellor (2023),2023,,AUS,,,,National,
101,Fuglie & Nelson (2025),2025,,USA,,,,National,
102,See country documentation,,,,,,,,
103,Ardito-Barletta (1971),1971,,MEX,,,,National,
104,Hayami (1975),1975,,JPN,,,,National,
105,Huffman & Evenson (2006),2006,,USA,,,,National,
106,Lemarie et al. (2020),2020,,FRA,,,,National,
107,World Bank (1991),1991,,VEN,,,,National,
